date,pos_tencent,neg_tencent,net_tencent,pos_alibaba,neg_alibaba,net_alibaba,pos_xiaomi,neg_xiaomi,net_xiaomi
2025-01-17,NaN,NaN,NaN,NaN,NaN,NaN,0.6954,0.5247,0.1366
2025-01-18,NaN,NaN,NaN,NaN,NaN,NaN,0.7707,0.3935,0.3516
2025-01-19,0.5726,0.4017,0.1689,NaN,NaN,NaN,NaN,NaN,NaN
2025-01-21,0.6696,0.3013,0.3668,NaN,NaN,NaN,0.8264,0.2951,0.5121
2025-01-24,0.751,0.226,0.524,NaN,NaN,NaN,0.8696,0.2214,0.6338
2025-01-25,0.8122,0.1695,0.6418,NaN,NaN,NaN,0.6522,0.4118,0.2296
2025-01-26,NaN,NaN,NaN,NaN,NaN,NaN,0.4892,0.4961,-0.0151
2025-01-27,NaN,NaN,NaN,NaN,NaN,NaN,0.6166,0.3721,0.2385
2025-01-28,NaN,NaN,NaN,NaN,NaN,NaN,0.6908,0.2791,0.4071
2025-01-29,NaN,NaN,NaN,NaN,NaN,NaN,0.7667,0.2093,0.554
2025-02-01,0.8589,0.1271,0.7312,NaN,NaN,NaN,NaN,NaN,NaN
2025-02-04,NaN,NaN,NaN,NaN,NaN,NaN,0.8245,0.157,0.665
2025-02-05,NaN,NaN,NaN,0.1261,0.8991,-0.7532,NaN,NaN,NaN
2025-02-06,NaN,NaN,NaN,0.0946,0.9227,-0.8133,0.8571,0.3663,0.6724
2025-02-07,NaN,NaN,NaN,NaN,NaN,NaN,0.892,0.2747,0.7535
2025-02-09,NaN,NaN,NaN,NaN,NaN,NaN,0.7942,0.4508,0.56
2025-02-11,NaN,NaN,NaN,0.3183,0.692,-0.3627,NaN,NaN,NaN
2025-02-12,0.894,0.0953,0.7982,0.4855,0.519,-0.0252,0.8422,0.5568,0.3655
2025-02-13,NaN,NaN,NaN,0.6121,0.3893,0.2291,0.6316,0.6669,0.0248
2025-02-14,NaN,NaN,NaN,NaN,NaN,NaN,0.723,0.7497,0.0977
2025-02-15,NaN,NaN,NaN,NaN,NaN,NaN,0.5422,0.8057,-0.1701
2025-02-16,0.822,0.0715,0.7501,NaN,NaN,NaN,0.4067,0.8535,-0.3768
2025-02-17,0.8625,0.0536,0.8086,NaN,NaN,NaN,0.5546,0.6401,-0.033
2025-02-18,NaN,NaN,NaN,NaN,NaN,NaN,0.6655,0.4801,0.2248
2025-02-20,0.6468,0.29,0.3567,NaN,NaN,NaN,NaN,NaN,NaN
2025-02-21,NaN,NaN,NaN,0.707,0.4306,0.3069,NaN,NaN,NaN
2025-02-22,NaN,NaN,NaN,NaN,NaN,NaN,0.7396,0.6097,0.2072
2025-02-23,NaN,NaN,NaN,NaN,NaN,NaN,0.7952,0.4573,0.3959
2025-02-24,0.7143,0.2175,0.4967,NaN,NaN,NaN,0.8276,0.5722,0.4102
2025-02-25,NaN,NaN,NaN,0.5302,0.5726,-0.0194,0.8703,0.4291,0.5572
2025-02-27,NaN,NaN,NaN,NaN,NaN,NaN,0.8951,0.5656,0.6203
2025-02-28,NaN,NaN,NaN,NaN,NaN,NaN,0.9157,0.661,0.6364
2025-03-01,NaN,NaN,NaN,NaN,NaN,NaN,0.9241,0.4957,0.7145
2025-03-02,NaN,NaN,NaN,NaN,NaN,NaN,0.9399,0.3718,0.7828
2025-03-03,0.7838,0.1631,0.6206,NaN,NaN,NaN,0.9529,0.5261,0.7257
2025-03-04,0.8359,0.1223,0.7135,NaN,NaN,NaN,0.964,0.6329,0.3947
2025-03-05,0.8752,0.0917,0.7834,NaN,NaN,NaN,0.9648,0.7208,0.483
2025-03-06,NaN,NaN,NaN,NaN,NaN,NaN,0.9733,0.5406,0.612
2025-03-07,NaN,NaN,NaN,NaN,NaN,NaN,0.9715,0.6536,0.6439
2025-03-08,NaN,NaN,NaN,NaN,NaN,NaN,0.9706,0.739,0.5763
2025-03-09,NaN,NaN,NaN,NaN,NaN,NaN,0.728,0.7988,0.1876
2025-03-10,NaN,NaN,NaN,NaN,NaN,NaN,0.785,0.5991,0.3797
2025-03-12,NaN,NaN,NaN,NaN,NaN,NaN,0.8369,0.6981,0.2071
2025-03-13,NaN,NaN,NaN,0.6475,0.4294,0.2352,0.8219,0.7701,0.2858
2025-03-14,NaN,NaN,NaN,NaN,NaN,NaN,0.8635,0.5776,0.4614
2025-03-15,NaN,NaN,NaN,NaN,NaN,NaN,0.892,0.6472,0.4832
2025-03-16,NaN,NaN,NaN,NaN,NaN,NaN,0.9186,0.4854,0.6121
2025-03-17,NaN,NaN,NaN,NaN,NaN,NaN,0.9028,0.364,0.6729
2025-03-18,NaN,NaN,NaN,0.7348,0.3221,0.4256,0.9164,0.4606,0.5585
2025-03-19,0.8977,0.0688,0.8288,0.7944,0.2416,0.5625,0.937,0.5951,0.3238
2025-03-20,NaN,NaN,NaN,NaN,NaN,NaN,0.952,0.6945,0.3153
2025-03-21,NaN,NaN,NaN,NaN,NaN,NaN,0.9639,0.5209,0.4864
2025-03-23,NaN,NaN,NaN,NaN,NaN,NaN,0.9725,0.3907,0.6143
2025-03-24,NaN,NaN,NaN,NaN,NaN,NaN,0.9704,0.5419,0.6527
2025-03-25,0.9181,0.0516,0.8665,0.5958,0.3409,0.2621,0.9623,0.4064,0.7241
2025-03-26,0.9385,0.0387,0.8997,NaN,NaN,NaN,0.9706,0.5463,0.6048
2025-03-27,NaN,NaN,NaN,NaN,NaN,NaN,0.9756,0.6548,0.2385
2025-03-28,NaN,NaN,NaN,NaN,NaN,NaN,0.9809,0.4911,0.4281
2025-03-29,NaN,NaN,NaN,NaN,NaN,NaN,0.9848,0.6176,0.1894
2025-03-30,NaN,NaN,NaN,NaN,NaN,NaN,0.9665,0.7124,0.2951
2025-03-31,NaN,NaN,NaN,NaN,NaN,NaN,0.9244,0.5343,0.4208
2025-04-01,NaN,NaN,NaN,NaN,NaN,NaN,0.9405,0.647,0.2983
2025-04-02,0.7038,0.2782,0.4256,NaN,NaN,NaN,0.9393,0.728,0.1427
2025-04-03,NaN,NaN,NaN,NaN,NaN,NaN,0.9525,0.7955,-0.0248
2025-04-04,NaN,NaN,NaN,NaN,NaN,NaN,0.7144,0.744,-0.166
2025-04-05,NaN,NaN,NaN,NaN,NaN,NaN,0.7846,0.558,0.1243
2025-04-06,NaN,NaN,NaN,NaN,NaN,NaN,0.8334,0.4185,0.3382
2025-04-07,NaN,NaN,NaN,NaN,NaN,NaN,0.8605,0.4906,0.3804
2025-04-08,NaN,NaN,NaN,NaN,NaN,NaN,0.8738,0.368,0.5137
2025-04-09,0.5279,0.4158,0.1121,NaN,NaN,NaN,0.9046,0.276,0.6346
2025-04-10,0.6437,0.3118,0.3319,0.6963,0.2557,0.446,NaN,NaN,NaN
2025-04-11,0.7306,0.2339,0.4967,NaN,NaN,NaN,0.6785,0.4557,0.2272
2025-04-15,NaN,NaN,NaN,NaN,NaN,NaN,0.7576,0.5911,0.321
2025-04-17,0.7972,0.1754,0.6218,NaN,NaN,NaN,0.8053,0.6596,0.3878
2025-04-18,0.8476,0.1316,0.7161,NaN,NaN,NaN,0.604,0.7268,0.0586
2025-04-19,NaN,NaN,NaN,NaN,NaN,NaN,0.7024,0.5451,0.2934
2025-04-22,0.8838,0.0987,0.7851,NaN,NaN,NaN,0.761,0.4088,0.4543
2025-04-23,NaN,NaN,NaN,NaN,NaN,NaN,0.7929,0.3066,0.5628
2025-04-24,NaN,NaN,NaN,NaN,NaN,NaN,0.8377,0.4765,0.2582
2025-04-25,NaN,NaN,NaN,0.5222,0.4406,0.0856,0.8764,0.3573,0.4418
2025-04-27,NaN,NaN,NaN,NaN,NaN,NaN,0.907,0.268,0.5811
2025-04-28,NaN,NaN,NaN,0.6404,0.3305,0.3129,0.923,0.4499,0.3582
2025-04-29,NaN,NaN,NaN,NaN,NaN,NaN,0.9409,0.3374,0.5173
2025-04-30,NaN,NaN,NaN,NaN,NaN,NaN,0.9548,0.2531,0.6371
2025-05-01,NaN,NaN,NaN,NaN,NaN,NaN,0.9603,0.1898,0.722
2025-05-02,NaN,NaN,NaN,NaN,NaN,NaN,0.965,0.1423,0.7863
2025-05-05,NaN,NaN,NaN,NaN,NaN,NaN,0.9652,0.1068,0.8312
2025-05-06,0.9127,0.074,0.8387,NaN,NaN,NaN,NaN,NaN,NaN
2025-05-07,NaN,NaN,NaN,NaN,NaN,NaN,0.9719,0.0801,0.8714
2025-05-08,0.9341,0.0555,0.8786,NaN,NaN,NaN,0.9757,0.0601,0.9003
2025-05-09,0.9489,0.0416,0.9073,0.6881,0.2479,0.4425,NaN,NaN,NaN
2025-05-10,0.9575,0.0312,0.9263,0.6813,0.1859,0.4972,0.9592,0.045,0.9026
2025-05-11,NaN,NaN,NaN,NaN,NaN,NaN,0.9691,0.0338,0.9267
2025-05-12,NaN,NaN,NaN,0.7535,0.1394,0.6154,0.9764,0.0253,0.9446
2025-05-13,0.96,0.0234,0.9366,0.8062,0.1046,0.7026,0.9802,0.2358,0.6552
2025-05-14,0.9651,0.0176,0.9475,NaN,NaN,NaN,0.9829,0.4051,0.3788
2025-05-15,0.9678,0.0132,0.9547,0.8518,0.0784,0.7741,0.9854,0.5531,0.509
2025-05-16,NaN,NaN,NaN,0.8877,0.3078,0.7138,0.9881,0.566,0.5037
2025-05-17,NaN,NaN,NaN,NaN,NaN,NaN,0.7411,0.6736,0.1287
2025-05-18,NaN,NaN,NaN,0.6658,0.4806,0.2857,0.7887,0.5052,0.3294
2025-05-19,0.9723,0.0099,0.9625,0.749,0.3604,0.464,0.8334,0.6283,0.4365
2025-05-20,0.9779,0.0074,0.9705,0.8115,0.2703,0.5977,0.8336,0.4712,0.5359
2025-05-21,NaN,NaN,NaN,0.6086,0.435,0.2159,0.8713,0.3534,0.648
2025-05-22,NaN,NaN,NaN,0.7058,0.3263,0.4114,0.8955,0.2651,0.7281
2025-05-23,NaN,NaN,NaN,0.7791,0.2447,0.5582,0.9158,0.1988,0.7902
2025-05-24,NaN,NaN,NaN,0.832,0.1835,0.6664,0.6868,0.2799,0.4618
2025-05-25,NaN,NaN,NaN,NaN,NaN,NaN,0.765,0.2099,0.5962
2025-05-26,NaN,NaN,NaN,0.8738,0.1376,0.7495,0.8218,0.1575,0.6952
2025-05-27,0.7334,0.2513,0.4822,0.9049,0.1032,0.8117,0.8631,0.1181,0.7681
2025-05-28,NaN,NaN,NaN,0.9262,0.0774,0.8564,0.897,0.0886,0.8258
2025-05-29,0.7946,0.1884,0.6061,0.9392,0.3079,0.7834,NaN,NaN,NaN
2025-05-30,NaN,NaN,NaN,0.954,0.2309,0.8372,0.9224,0.2814,0.6567
2025-05-31,NaN,NaN,NaN,0.9115,0.3729,0.4905,NaN,NaN,NaN
2025-06-01,0.8458,0.1413,0.7044,0.9306,0.2796,0.6148,0.9387,0.4,0.5434
2025-06-03,NaN,NaN,NaN,NaN,NaN,NaN,0.9535,0.3,0.6571
2025-06-04,NaN,NaN,NaN,NaN,NaN,NaN,0.9633,0.225,0.741
2025-06-06,NaN,NaN,NaN,NaN,NaN,NaN,0.9722,0.1688,0.8054
2025-06-07,0.8695,0.106,0.7635,NaN,NaN,NaN,0.9785,0.1266,0.8534
2025-06-08,NaN,NaN,NaN,NaN,NaN,NaN,0.9817,0.0949,0.8879
2025-06-09,NaN,NaN,NaN,0.9255,0.2097,0.6887,0.9859,0.0712,0.9155
2025-06-10,NaN,NaN,NaN,NaN,NaN,NaN,0.9783,0.0534,0.9255
2025-06-11,NaN,NaN,NaN,0.6941,0.4059,0.2679,0.9825,0.2156,0.6943
2025-06-12,0.6521,0.3116,0.3405,0.7698,0.5531,0.2757,0.9836,0.1617,0.7675
2025-06-13,NaN,NaN,NaN,0.826,0.6641,0.3388,NaN,NaN,NaN
2025-06-16,NaN,NaN,NaN,0.8693,0.4981,0.5039,0.9874,0.1213,0.8252
2025-06-17,NaN,NaN,NaN,0.894,0.5918,0.573,0.9901,0.091,0.8685
2025-06-18,NaN,NaN,NaN,0.9165,0.6924,0.5775,NaN,NaN,NaN
2025-06-19,NaN,NaN,NaN,0.937,0.5193,0.6827,0.9786,0.255,0.8155
2025-06-20,NaN,NaN,NaN,0.9403,0.3894,0.7496,0.9837,0.4365,0.716
2025-06-21,NaN,NaN,NaN,NaN,NaN,NaN,0.9873,0.5731,0.5354
2025-06-22,0.733,0.4798,0.3145,NaN,NaN,NaN,NaN,NaN,NaN
2025-06-23,0.7975,0.3598,0.4836,NaN,NaN,NaN,0.9888,0.4298,0.6498
2025-06-24,0.8465,0.2699,0.6111,NaN,NaN,NaN,0.9478,0.3224,0.6936
2025-06-25,NaN,NaN,NaN,NaN,NaN,NaN,0.9486,0.4891,0.7314
2025-06-26,NaN,NaN,NaN,NaN,NaN,NaN,0.9568,0.576,0.7818
